ID	Gene Symbol
merck2-AA204835_at	SARS
merck2-AA206257_at	SLC7A8
merck2-AA206812_s_at	
merck2-AA206864_at	
merck2-AA206864_x_at	CDKN2AIPNL
merck2-AA206993_a_at	MPPE1
merck2-AA209162_at	
merck2-AA209162_x_at	IGF2BP1
merck2-AA210688_at	WDR26
merck2-AA211232_at	
merck2-AA211232_x_at	
merck2-AA215697_at	UCHL5
merck2-AA220927_at	PCSK6
merck2-AA220927_x_at	PCSK6
merck2-AA224205_at	
merck2-AA229292_at	CCDC72
merck2-AA229485_at	
merck2-AA234074_at	CMTM1 CKLF-CMTM1
merck2-AA235608_at	SPTBN1
merck2-AA243434_at	
merck2-AA243434_x_at	
merck2-AA247813_x_at	
merck2-AA248932_at	DENND4C
merck2-AA249482_at	
merck2-AA249875_at	
merck2-AA250868_at	
merck2-AA251331_at	ELF1
merck2-AA251740_at	NAA38
merck2-AA252974_at	SH3PXD2A
merck2-AA256415_at	
merck2-AA256897_at	ZNF618
merck2-AA257034_at	BRI3
merck2-AA257034_x_at	BRI3
merck2-AA258265_at	OSBPL8
merck2-AA261925_at	
merck2-AA262548_at	PAWR
merck2-AA278368_a_at	SNTB2
merck2-AA278673_at	TLR7
merck2-AA278761_at	
merck2-AA278761_x_at	
merck2-AA279540_at	SLC7A6
merck2-AA279540_x_at	SLC7A6
merck2-AA280528_at	VPS39
merck2-AA280613_at	DCP2
merck2-AA280884_at	SH2B2
merck2-AA283680_at	PAPD7
merck2-AA287941_at	
merck2-AA291550_a_at	ADD1
merck2-AA291580_at	ANK1
merck2-AA291580_x_at	ANK1
merck2-AA295198_at	CCDC110
merck2-AA295799_at	VPS4A
merck2-AA299894_at	
merck2-AA300065_at	NDUFB9
merck2-AA301948_at	PRDX1
merck2-AA313216_a_at	RTF1
merck2-AA314147_at	KCNJ2
merck2-AA315736_a_at	ATP1B3
merck2-AA315954_s_at	
merck2-AA316655_at	
merck2-AA316655_x_at	
merck2-AA319377_s_at	
merck2-AA319610_at	PCSK2
